STATE,SALES_MONTH,STATE_PRICE
Florida,2024-06-01,6.75149276
Ontario,2025-04-01,6.75201768
Arizona,2024-02-01,6.75538419
Massachusetts,2024-10-01,6.75580519
New Mexico,2024-03-01,6.75646280
Arkansas,2025-08-01,6.75728649
Hawaii,2025-12-01,6.75907618
Arkansas,2025-04-01,6.76537337
California,2023-01-01,6.76764741
British Columbia,2026-02-01,6.77094291
Newfoundland and Labrador,2024-10-01,6.77277273
Colorado,2025-08-01,6.77323069
California,2025-12-01,6.77335573
Michigan,2023-05-01,6.77431066
Colorado,2023-10-01,6.77455467
British Columbia,2025-07-01,6.77463647
California,2025-09-01,6.78907563
Newfoundland and Labrador,2024-09-01,6.79037471
Pennsylvania,2025-01-01,6.79241274
Pennsylvania,2025-03-01,6.79303563
California,2023-04-01,6.79326060
Newfoundland and Labrador,2024-04-01,6.80321429
California,2023-02-01,6.80419593
California,2026-03-01,6.80500463
Pennsylvania,2026-01-01,6.80546260
Saskatchewan,2023-06-01,6.80665497
California,2023-11-01,6.80842359
Pennsylvania,2025-02-01,6.81034893
Michigan,2023-03-01,6.81253391
Michigan,2024-05-01,6.81328362
Pennsylvania,2026-02-01,6.82213105
Pennsylvania,2026-03-01,6.82444119
Newfoundland and Labrador,2024-11-01,6.83290749
California,2023-05-01,6.83701803
Oregon,2022-09-01,6.83876281
New Mexico,2025-05-01,6.83881312
British Columbia,2025-09-01,6.84014784
Michigan,2023-06-01,6.84202638
Arkansas,2025-06-01,6.84267446
Pennsylvania,2025-05-01,6.84274107
New Mexico,2024-07-01,6.84314750
Pennsylvania,2025-08-01,6.84586116
British Columbia,2025-12-01,6.84951952
British Columbia,2026-03-01,6.85126415
Oregon,2022-10-01,6.85223020
Michigan,2023-07-01,6.85274713
Colorado,2023-09-01,6.85394316
Arizona,2023-11-01,6.85489286
California,2023-03-01,6.85489560
Newfoundland and Labrador,2024-08-01,6.85964835
Newfoundland and Labrador,2024-07-01,6.86019027
British Columbia,2025-08-01,6.86328099
Colorado,2025-06-01,6.86430219
Arkansas,2025-05-01,6.86748549
Michigan,2024-04-01,6.87093108
Colorado,2024-09-01,6.87554301
Ohio,2024-01-01,6.87599142
Newfoundland and Labrador,2024-05-01,6.87660088
Colorado,2023-12-01,6.88605949
Pennsylvania,2024-10-01,6.88964459
New Mexico,2025-06-01,6.89393530
New Mexico,2024-06-01,6.89464587
British Columbia,2025-05-01,6.89704943
Colorado,2025-07-01,6.89785782
New Mexico,2025-07-01,6.90141865
Pennsylvania,2024-08-01,6.90562954
Arizona,2023-12-01,6.91250098
Massachusetts,2024-09-01,6.91619598
Texas,2024-09-01,6.92666667
New Mexico,2025-09-01,6.92914472
Saskatchewan,2023-04-01,6.93423414
Saskatchewan,2024-02-01,6.93646544
Arkansas,2023-07-01,6.94266037
New Hampshire,2023-07-01,6.94443350
Oklahoma,2022-10-01,6.94714946
Newfoundland and Labrador,2023-11-01,6.94886228
New Mexico,2025-08-01,6.95087981
New Hampshire,2025-10-01,6.95460784
Michigan,2023-02-01,6.96067480
Massachusetts,2024-06-01,6.96193845
Arizona,2022-09-01,6.96256312
Ohio,2023-09-01,6.96345493
Massachusetts,2024-04-01,6.96736612
California,2025-07-01,6.96756759
Hawaii,2026-03-01,6.97140264
Newfoundland and Labrador,2023-09-01,6.97744376
Colorado,2024-01-01,6.98070921
California,2025-08-01,6.98207226
Saskatchewan,2023-07-01,6.98554610
Colorado,2025-01-01,6.98673849
New Hampshire,2023-06-01,6.98934498
Massachusetts,2024-05-01,6.98999590
Newfoundland and Labrador,2023-08-01,7.00079268
