STATE,SALES_MONTH,COUNT(DISTINCT( MASTER_ID))
Newfoundland and Labrador,2023-09-01,41
Colorado,2023-09-01,733
Saskatchewan,2023-09-01,105
Nevada,2023-09-01,113
Connecticut,2023-09-01,28
Massachusetts,2023-10-01,355
South Carolina,2023-10-01,1
Puerto Rico,2023-10-01,282
Ohio,2023-10-01,113
South Dakota,2023-10-01,61
Illinois,2023-10-01,167
Washington,2023-10-01,470
Oregon,2023-10-01,745
British Columbia,2023-10-01,426
Utah,2023-10-01,18
Minnesota,2023-10-01,14
Michigan,2023-10-01,757
New Hampshire,2023-10-01,7
Virginia,2023-10-01,22
California,2023-10-01,1660
Hawaii,2023-10-01,24
North Dakota,2023-10-01,8
Manitoba,2023-10-01,101
Pennsylvania,2023-10-01,183
Delaware,2023-10-01,12
Iowa,2023-10-01,5
New York,2023-10-01,125
Oklahoma,2023-10-01,1509
Colorado,2023-10-01,732
Nova Scotia,2023-10-01,12
Connecticut,2023-10-01,30
Yukon,2023-10-01,6
Mississippi,2023-10-01,125
New Jersey,2023-10-01,78
Northern Mariana Islands,2023-10-01,1
West Virginia,2023-10-01,58
Louisiana,2023-10-01,13
Nunavut,2023-10-01,2
Maine,2023-10-01,227
Arizona,2023-10-01,177
Newfoundland and Labrador,2023-10-01,41
Rhode Island,2023-10-01,7
District of Columbia,2023-10-01,20
Arkansas,2023-10-01,40
Georgia,2023-10-01,5
New Mexico,2023-10-01,575
Montana,2023-10-01,376
Alberta,2023-10-01,730
Quebec,2023-10-01,1
Alaska,2023-10-01,166
Missouri,2023-10-01,202
Ontario,2023-10-01,1673
Maryland,2023-10-01,102
New Brunswick,2023-10-01,34
Vermont,2023-10-01,68
Nevada,2023-10-01,114
Florida,2023-10-01,626
Saskatchewan,2023-10-01,105
Texas,2023-10-01,9
British Columbia,2023-11-01,427
Pennsylvania,2023-11-01,184
Delaware,2023-11-01,12
Alaska,2023-11-01,166
Maine,2023-11-01,224
Texas,2023-11-01,9
Minnesota,2023-11-01,16
Ohio,2023-11-01,118
Connecticut,2023-11-01,34
District of Columbia,2023-11-01,20
California,2023-11-01,1650
Northern Mariana Islands,2023-11-01,1
Washington,2023-11-01,472
Colorado,2023-11-01,733
Rhode Island,2023-11-01,7
Illinois,2023-11-01,173
Montana,2023-11-01,382
Manitoba,2023-11-01,101
Vermont,2023-11-01,73
Iowa,2023-11-01,5
Louisiana,2023-11-01,13
Puerto Rico,2023-11-01,283
South Dakota,2023-11-01,64
Nova Scotia,2023-11-01,12
Utah,2023-11-01,18
New York,2023-11-01,139
South Carolina,2023-11-01,1
Michigan,2023-11-01,764
Oregon,2023-11-01,744
Mississippi,2023-11-01,135
Virginia,2023-11-01,22
Yukon,2023-11-01,6
Georgia,2023-11-01,5
New Jersey,2023-11-01,89
Florida,2023-11-01,628
Ontario,2023-11-01,1641
Missouri,2023-11-01,204
West Virginia,2023-11-01,59
Hawaii,2023-11-01,24
New Hampshire,2023-11-01,7
Arizona,2023-11-01,177
Maryland,2023-11-01,101
Alberta,2023-11-01,730
Massachusetts,2023-11-01,356
North Dakota,2023-11-01,8
Saskatchewan,2023-11-01,105
Nevada,2023-11-01,115
Nunavut,2023-11-01,2
Arkansas,2023-11-01,40
New Brunswick,2023-11-01,34
Quebec,2023-11-01,1
New Mexico,2023-11-01,589
Oklahoma,2023-11-01,1505
Newfoundland and Labrador,2023-11-01,41
Arkansas,2023-12-01,40
Virginia,2023-12-01,22
Oklahoma,2023-12-01,1482
Northern Mariana Islands,2023-12-01,1
West Virginia,2023-12-01,60
Louisiana,2023-12-01,14
District of Columbia,2023-12-01,22
Massachusetts,2023-12-01,362
Rhode Island,2023-12-01,7
Illinois,2023-12-01,177
Oregon,2023-12-01,730
Manitoba,2023-12-01,102
South Carolina,2023-12-01,1
Delaware,2023-12-01,12
Quebec,2023-12-01,1
Mississippi,2023-12-01,137
Alberta,2023-12-01,734
California,2023-12-01,1546
South Dakota,2023-12-01,64
Arizona,2023-12-01,178
North Dakota,2023-12-01,8
Georgia,2023-12-01,5
Alaska,2023-12-01,167
New Jersey,2023-12-01,100
Ohio,2023-12-01,120
Minnesota,2023-12-01,16
Iowa,2023-12-01,5
Hawaii,2023-12-01,24
Connecticut,2023-12-01,36
Newfoundland and Labrador,2023-12-01,41
Florida,2023-12-01,633
Saskatchewan,2023-12-01,105
Maine,2023-12-01,225
New York,2023-12-01,162
Ontario,2023-12-01,1613
British Columbia,2023-12-01,427
Yukon,2023-12-01,6
Missouri,2023-12-01,207
Washington,2023-12-01,470
Puerto Rico,2023-12-01,288
Nova Scotia,2023-12-01,13
Utah,2023-12-01,18
Pennsylvania,2023-12-01,184
Texas,2023-12-01,9
Michigan,2023-12-01,772
New Mexico,2023-12-01,588
Maryland,2023-12-01,100
Vermont,2023-12-01,78
Montana,2023-12-01,384
Colorado,2023-12-01,729
New Hampshire,2023-12-01,7
Nevada,2023-12-01,115
New Brunswick,2023-12-01,34
Nunavut,2023-12-01,2
Arizona,2024-01-01,178
Delaware,2024-01-01,12
Newfoundland and Labrador,2024-01-01,41
Nunavut,2024-01-01,2
Quebec,2024-01-01,1
Oklahoma,2024-01-01,1463
Virginia,2024-01-01,22
New Brunswick,2024-01-01,34
Hawaii,2024-01-01,24
New York,2024-01-01,176
New Jersey,2024-01-01,107
Michigan,2024-01-01,770
Alberta,2024-01-01,734
Mississippi,2024-01-01,143
Oregon,2024-01-01,717
Montana,2024-01-01,382
South Carolina,2024-01-01,1
California,2024-01-01,1536
Pennsylvania,2024-01-01,186
Ontario,2024-01-01,1617
Northern Mariana Islands,2024-01-01,1
Massachusetts,2024-01-01,364
Colorado,2024-01-01,730
British Columbia,2024-01-01,426
Washington,2024-01-01,470
Puerto Rico,2024-01-01,293
Maine,2024-01-01,224
Missouri,2024-01-01,207
Arkansas,2024-01-01,40
West Virginia,2024-01-01,60
Georgia,2024-01-01,10
District of Columbia,2024-01-01,22
Texas,2024-01-01,5
Rhode Island,2024-01-01,7
New Hampshire,2024-01-01,7
Manitoba,2024-01-01,102
Vermont,2024-01-01,81
Yukon,2024-01-01,6
Connecticut,2024-01-01,36
Illinois,2024-01-01,184
Louisiana,2024-01-01,16
South Dakota,2024-01-01,67
Maryland,2024-01-01,100
Ohio,2024-01-01,124
New Mexico,2024-01-01,592
Alaska,2024-01-01,167
North Dakota,2024-01-01,8
Minnesota,2024-01-01,16
Florida,2024-01-01,637
Iowa,2024-01-01,5
Utah,2024-01-01,18
Nevada,2024-01-01,115
Saskatchewan,2024-01-01,105
Nova Scotia,2024-01-01,72
South Carolina,2024-02-01,1
Virginia,2024-02-01,22
District of Columbia,2024-02-01,22
Vermont,2024-02-01,83
Florida,2024-02-01,636
Pennsylvania,2024-02-01,186
Alaska,2024-02-01,168
North Dakota,2024-02-01,8
Texas,2024-02-01,5
Yukon,2024-02-01,6
Ontario,2024-02-01,1628
Colorado,2024-02-01,731
Mississippi,2024-02-01,148
Georgia,2024-02-01,10
Montana,2024-02-01,386
New Hampshire,2024-02-01,7
New York,2024-02-01,183
Arizona,2024-02-01,180
Manitoba,2024-02-01,103
Newfoundland and Labrador,2024-02-01,41
Minnesota,2024-02-01,16
South Dakota,2024-02-01,68
West Virginia,2024-02-01,61
Nevada,2024-02-01,115
Oregon,2024-02-01,719
New Jersey,2024-02-01,116
Arkansas,2024-02-01,40
Hawaii,2024-02-01,23
Maine,2024-02-01,224
New Mexico,2024-02-01,588
Rhode Island,2024-02-01,7
Saskatchewan,2024-02-01,105
Delaware,2024-02-01,12
Quebec,2024-02-01,1
Nova Scotia,2024-02-01,72
