STATE,SALES_MONTH,STATE_PRICE
Arizona,2024-10-01,6.01760376
West Virginia,2023-02-01,6.01824017
Colorado,2023-06-01,6.02078880
Saskatchewan,2022-10-01,6.03115117
Oregon,2025-11-01,6.03194706
Michigan,2026-02-01,6.03948383
Newfoundland and Labrador,2025-02-01,6.04515789
Newfoundland and Labrador,2025-04-01,6.04656863
Michigan,2025-10-01,6.05194335
Florida,2023-08-01,6.05346094
Arizona,2025-01-01,6.06724639
Michigan,2025-05-01,6.07081315
Florida,2024-12-01,6.07132341
Oregon,2025-02-01,6.07949582
New Mexico,2026-04-01,6.08025742
Ontario,2025-11-01,6.08125226
Oregon,2025-10-01,6.08223485
Texas,2024-12-01,6.08600000
Newfoundland and Labrador,2025-10-01,6.08697933
Newfoundland and Labrador,2025-08-01,6.08815504
New Mexico,2025-10-01,6.09006675
Newfoundland and Labrador,2025-09-01,6.09064063
Michigan,2025-03-01,6.09397347
Michigan,2025-02-01,6.09911939
California,2024-06-01,6.10253963
California,2024-03-01,6.10445958
California,2024-11-01,6.10808295
Florida,2026-04-01,6.10906209
Massachusetts,2025-07-01,6.10916598
Michigan,2026-04-01,6.11026247
California,2024-09-01,6.11329572
New Mexico,2026-01-01,6.11355997
Newfoundland and Labrador,2025-03-01,6.11383784
New Mexico,2026-05-01,6.12009563
Florida,2026-03-01,6.12909299
Massachusetts,2025-04-01,6.13097381
Arizona,2025-02-01,6.13185337
Oregon,2025-04-01,6.13521621
Arkansas,2023-11-01,6.13585180
California,2024-04-01,6.13656616
Florida,2025-01-01,6.13757009
Michigan,2025-07-01,6.14637804
Michigan,2025-08-01,6.14641734
Ontario,2026-01-01,6.14719661
Michigan,2025-06-01,6.14771331
New Hampshire,2023-08-01,6.15111111
Oregon,2025-03-01,6.15361864
Ontario,2026-04-01,6.15575225
New Mexico,2026-02-01,6.15671719
Ontario,2026-03-01,6.15678181
Michigan,2025-09-01,6.15752638
Newfoundland and Labrador,2026-01-01,6.16345979
Florida,2024-11-01,6.16356568
California,2024-02-01,6.17656899
Massachusetts,2025-06-01,6.17818805
New Mexico,2025-12-01,6.17946959
Massachusetts,2025-05-01,6.17985344
Michigan,2026-03-01,6.18342034
Alberta,2026-04-01,6.19702959
Newfoundland and Labrador,2025-07-01,6.19719064
Florida,2022-10-01,6.19837383
Colorado,2026-05-01,6.20566692
Arkansas,2026-04-01,6.20749056
Michigan,2026-05-01,6.21011075
New Mexico,2025-01-01,6.21076299
New Mexico,2025-02-01,6.21105458
Florida,2023-07-01,6.21170753
Ontario,2026-02-01,6.21266488
California,2025-03-01,6.21893667
Massachusetts,2025-03-01,6.22059229
Colorado,2023-04-01,6.22288416
Alberta,2026-05-01,6.22569917
Florida,2024-09-01,6.23006538
California,2024-12-01,6.23683589
