STATE,SALES_MONTH,COUNT(    DISTINCT MASTER_ID)
Louisiana,2024-12-01,32
Louisiana,2024-02-01,25
Nova Scotia,2024-06-01,14
Yukon,2024-06-01,6
Utah,2023-01-01,18
Louisiana,2023-02-01,20
New Brunswick,2024-11-01,27
Newfoundland and Labrador,2022-09-01,40
New Brunswick,2025-03-01,28
Nova Scotia,2025-04-01,17
North Dakota,2025-03-01,8
District of Columbia,2023-09-01,16
Rhode Island,2025-10-01,8
Rhode Island,2023-02-01,8
Nova Scotia,2023-05-01,12
Delaware,2022-09-01,10
Nunavut,2025-07-01,2
Nunavut,2024-08-01,2
Georgia,2023-08-01,4
South Carolina,2023-09-01,1
Quebec,2023-10-01,1
Washington,2023-01-01,470
Missouri,2023-12-01,207
Washington,2022-12-01,468
Colorado,2024-10-01,702
Ohio,2025-11-01,184
New York,2024-02-01,175
Ohio,2024-10-01,130
Colorado,2025-05-01,679
Oregon,2025-02-01,704
Oklahoma,2024-05-01,1301
Illinois,2024-03-01,194
Oklahoma,2023-06-01,1590
Mississippi,2025-12-01,180
New York,2025-03-01,425
Ontario,2025-08-01,1647
Oklahoma,2024-11-01,1211
Alberta,2026-02-01,782
Massachusetts,2024-11-01,398
Oklahoma,2025-02-01,1168
Ohio,2025-05-01,149
South Dakota,2024-04-01,67
Puerto Rico,2024-09-01,290
Maine,2024-07-01,227
Nevada,2022-12-01,110
Newfoundland and Labrador,2025-01-01,42
Montana,2023-08-01,370
Newfoundland and Labrador,2023-04-01,41
Hawaii,2023-08-01,23
District of Columbia,2023-10-01,16
Manitoba,2024-05-01,107
New York,2024-11-01,330
Connecticut,2025-01-01,59
New Jersey,2024-05-01,142
Nevada,2023-12-01,115
Saskatchewan,2024-04-01,100
Saskatchewan,2026-03-01,98
New York,2023-06-01,98
Ontario,2025-10-01,1642
Washington,2022-09-01,480
Alberta,2025-02-01,737
California,2024-02-01,1499
Montana,2024-09-01,394
Maryland,2022-12-01,112
Nevada,2024-10-01,116
South Dakota,2025-01-01,68
New Jersey,2022-09-01,33
Newfoundland and Labrador,2023-10-01,41
West Virginia,2022-11-01,49
Florida,2022-09-01,527
Newfoundland and Labrador,2023-12-01,41
South Dakota,2023-02-01,45
New Brunswick,2025-08-01,28
Nevada,2024-06-01,116
Arkansas,2023-10-01,40
West Virginia,2022-12-01,49
Saskatchewan,2022-11-01,105
West Virginia,2023-11-01,59
Nova Scotia,2024-04-01,14
West Virginia,2025-08-01,64
Delaware,2026-02-01,15
Vermont,2023-05-01,59
Nova Scotia,2025-01-01,16
Delaware,2023-10-01,13
Newfoundland and Labrador,2024-04-01,41
Utah,2024-08-01,18
Texas,2022-10-01,7
Hawaii,2026-01-01,26
Texas,2023-04-01,9
Utah,2024-05-01,18
Yukon,2024-01-01,6
Yukon,2025-06-01,6
New Hampshire,2023-03-01,8
Iowa,2024-11-01,5
Yukon,2025-05-01,6
Texas,2024-10-01,5
Iowa,2023-11-01,5
Nunavut,2024-01-01,2
Nunavut,2026-02-01,1
South Carolina,2024-04-01,1
North Carolina,2025-01-01,1
Washington,2025-11-01,465
Pennsylvania,2025-09-01,190
Missouri,2025-12-01,224
Alaska,2026-01-01,187
Washington,2024-11-01,475
Michigan,2023-07-01,740
Oregon,2025-10-01,697
Washington,2024-04-01,470
Nevada,2025-05-01,117
Washington,2023-07-01,473
Oklahoma,2025-01-01,1171
New York,2024-03-01,189
Michigan,2024-03-01,782
Arizona,2023-05-01,165
Oklahoma,2023-05-01,1599
Oregon,2023-05-01,750
Colorado,2026-01-01,665
Missouri,2023-06-01,197
New Mexico,2023-02-01,471
Illinois,2025-04-01,249
New Mexico,2023-06-01,521
Massachusetts,2023-03-01,341
Arizona,2025-08-01,174
Saskatchewan,2025-12-01,98
British Columbia,2023-07-01,433
Maryland,2024-03-01,100
South Dakota,2024-01-01,67
Newfoundland and Labrador,2023-05-01,41
Alberta,2022-11-01,726
Manitoba,2025-11-01,119
Arizona,2024-11-01,174
New Jersey,2023-11-01,89
Puerto Rico,2022-11-01,259
Puerto Rico,2026-03-01,269
Ohio,2024-02-01,125
Saskatchewan,2025-02-01,101
Manitoba,2023-07-01,102
Minnesota,2023-09-01,41
Minnesota,2024-06-01,53
Saskatchewan,2023-11-01,105
Hawaii,2025-02-01,25
Florida,2023-02-01,585
Florida,2023-05-01,605
Ontario,2025-03-01,1626
Oregon,2023-06-01,750
Oklahoma,2026-01-01,995
Maine,2023-11-01,221
Illinois,2022-10-01,111
Alaska,2024-02-01,168
Maine,2025-01-01,228
New Brunswick,2025-01-01,27
New Jersey,2023-09-01,76
Saskatchewan,2024-11-01,101
South Dakota,2023-09-01,59
Saskatchewan,2025-04-01,98
West Virginia,2023-01-01,51
Iowa,2024-10-01,5
Newfoundland and Labrador,2022-12-01,43
Georgia,2024-11-01,5
Arkansas,2026-03-01,37
Connecticut,2023-12-01,36
Georgia,2025-09-01,15
Delaware,2024-12-01,14
Utah,2026-03-01,18
Rhode Island,2022-10-01,6
Utah,2023-05-01,18
Rhode Island,2024-08-01,8
Connecticut,2022-12-01,21
Georgia,2024-06-01,5
Georgia,2023-05-01,2
Nunavut,2023-11-01,2
Iowa,2023-02-01,5
New Hampshire,2026-01-01,8
Northern Mariana Islands,2022-10-01,1
Washington,2024-07-01,469
California,2025-03-01,1484
Michigan,2025-11-01,783
Oregon,2022-09-01,761
Michigan,2025-01-01,835
Michigan,2025-12-01,781
Illinois,2023-08-01,153
Arizona,2025-12-01,174
Michigan,2025-08-01,816
California,2024-09-01,1476
Maine,2023-07-01,228
Massachusetts,2024-06-01,386
New Jersey,2024-09-01,190
Illinois,2026-03-01,266
Newfoundland and Labrador,2024-10-01,42
Colorado,2026-03-01,662
Illinois,2023-05-01,134
Alaska,2023-04-01,162
Illinois,2023-01-01,122
New Jersey,2025-07-01,269
Arizona,2023-06-01,165
Arizona,2025-01-01,172
British Columbia,2023-01-01,429
Alberta,2025-09-01,765
Alberta,2025-04-01,755
Saskatchewan,2023-05-01,106
Arizona,2022-09-01,147
Puerto Rico,2025-05-01,280
Illinois,2023-10-01,168
South Dakota,2024-05-01,67
Manitoba,2024-07-01,108
Mississippi,2024-11-01,166
New York,2025-05-01,479
Maryland,2023-10-01,102
New Jersey,2024-07-01,165
Puerto Rico,2023-06-01,274
Colorado,2023-12-01,729
Puerto Rico,2025-10-01,272
New Mexico,2024-08-01,606
New York,2024-08-01,263
Ohio,2023-10-01,114
Maine,2023-10-01,224
New York,2022-09-01,78
Pennsylvania,2024-04-01,187
Alaska,2025-02-01,186
Vermont,2024-03-01,83
Arkansas,2024-09-01,41
New Hampshire,2024-12-01,8
Louisiana,2025-10-01,34
Minnesota,2024-01-01,48
District of Columbia,2024-03-01,19
District of Columbia,2024-01-01,18
District of Columbia,2024-11-01,25
Mississippi,2023-01-01,41
Delaware,2025-04-01,14
North Dakota,2023-12-01,8
North Dakota,2024-06-01,8
Georgia,2025-02-01,5
Delaware,2024-06-01,13
Yukon,2023-01-01,6
Yukon,2025-08-01,5
Georgia,2024-01-01,5
Nunavut,2025-04-01,2
Northern Mariana Islands,2023-05-01,1
South Carolina,2022-11-01,1
Michigan,2026-01-01,776
California,2025-04-01,1483
Pennsylvania,2023-10-01,183
California,2022-09-01,1525
California,2023-12-01,1540
New York,2025-01-01,377
Pennsylvania,2022-09-01,169
Missouri,2024-07-01,207
California,2024-10-01,1473
Maryland,2025-10-01,109
Illinois,2023-07-01,149
Oklahoma,2023-04-01,1601
New Mexico,2026-01-01,557
Illinois,2023-12-01,178
Arizona,2026-01-01,174
British Columbia,2026-03-01,433
Nevada,2025-02-01,116
Oklahoma,2024-06-01,1290
Illinois,2023-03-01,128
Montana,2022-12-01,371
Vermont,2024-09-01,89
Maryland,2023-12-01,100
South Dakota,2023-06-01,48
Pennsylvania,2023-01-01,175
Hawaii,2022-11-01,20
Puerto Rico,2025-04-01,281
Maine,2023-03-01,245
District of Columbia,2025-12-01,66
West Virginia,2025-06-01,64
Manitoba,2024-02-01,104
British Columbia,2025-05-01,429
Vermont,2026-02-01,102
British Columbia,2023-08-01,430
New Mexico,2023-12-01,588
British Columbia,2024-06-01,419
New Jersey,2025-12-01,297
Saskatchewan,2023-06-01,106
West Virginia,2025-02-01,62
Missouri,2023-01-01,199
New York,2024-07-01,251
District of Columbia,2023-06-01,16
South Dakota,2023-07-01,51
Florida,2024-07-01,687
Puerto Rico,2025-02-01,298
New Jersey,2024-12-01,216
Mississippi,2023-11-01,135
Alaska,2025-08-01,188
Maryland,2024-11-01,100
West Virginia,2025-10-01,64
Virginia,2024-11-01,24
Hawaii,2025-07-01,25
New Brunswick,2024-09-01,27
Hawaii,2024-06-01,24
Delaware,2025-11-01,15
Iowa,2025-10-01,5
Nova Scotia,2022-09-01,12
District of Columbia,2024-09-01,21
District of Columbia,2024-04-01,20
Delaware,2024-10-01,14
Rhode Island,2022-11-01,6
Texas,2024-07-01,5
New Hampshire,2023-10-01,8
