STATE,SALES_MONTH,TOTAL_DOLLARS
Louisiana,2023-03-01,1909054.22
Michigan,2023-03-01,251360691.28
Massachusetts,2023-03-01,152008012.75
Minnesota,2023-03-01,3022386.47
Alberta,2023-03-01,77008140.12
Maine,2023-03-01,41446864.03
Connecticut,2023-03-01,22445351.03
Alaska,2023-03-01,20182810.83
Illinois,2023-03-01,133132668.82
New York,2023-04-01,15309084.21
Nova Scotia,2023-04-01,36493.48
Massachusetts,2023-04-01,147625774.32
Nevada,2023-04-01,70849943.62
Saskatchewan,2023-04-01,12311754.13
Louisiana,2023-04-01,2505722.34
New Mexico,2023-04-01,46494173.01
California,2023-04-01,404567397.25
Utah,2023-04-01,8383832.51
Alaska,2023-04-01,19519165.43
Maryland,2023-04-01,40175390.72
Delaware,2023-04-01,3234112.02
Vermont,2023-04-01,8137791.04
Pennsylvania,2023-04-01,90966703.92
Maine,2023-04-01,39575356.06
New Jersey,2023-04-01,52339358.80
Missouri,2023-04-01,122209791.26
Arizona,2023-04-01,121210934.04
Mississippi,2023-04-01,5833045.26
New Brunswick,2023-04-01,2987358.22
Iowa,2023-04-01,1175559.98
New Hampshire,2023-04-01,866431.56
Northern Mariana Islands,2023-04-01,0.00
Michigan,2023-04-01,247719078.64
Nunavut,2023-04-01,660434.36
Alberta,2023-04-01,77047684.80
Ontario,2023-04-01,176311475.51
Hawaii,2023-04-01,2988827.93
Yukon,2023-04-01,990349.77
South Dakota,2023-04-01,3063889.96
Virginia,2023-04-01,10954374.93
South Carolina,2023-04-01,0.00
North Dakota,2023-04-01,1233829.56
Florida,2023-04-01,144893588.93
Manitoba,2023-04-01,13377725.18
Puerto Rico,2023-04-01,17563315.45
Washington,2023-04-01,76612368.73
Montana,2023-04-01,26473864.55
Oregon,2023-04-01,84221020.60
Ohio,2023-04-01,40412192.98
Minnesota,2023-04-01,3394320.34
Texas,2023-04-01,800704.10
Illinois,2023-04-01,133150136.39
West Virginia,2023-04-01,5495578.39
British Columbia,2023-04-01,70550894.25
Connecticut,2023-04-01,21788385.68
Arkansas,2023-04-01,23532451.39
Oklahoma,2023-04-01,123833340.11
District of Columbia,2023-04-01,3028618.09
Rhode Island,2023-04-01,5366207.26
Colorado,2023-04-01,133471262.05
Newfoundland and Labrador,2023-04-01,4044429.79
Connecticut,2023-05-01,22930431.38
South Carolina,2023-05-01,0.00
Alaska,2023-05-01,20009754.47
Utah,2023-05-01,8887760.72
Yukon,2023-05-01,1034584.88
New Brunswick,2023-05-01,3055436.59
California,2023-05-01,406945842.61
New York,2023-05-01,16129231.63
Washington,2023-05-01,71647159.46
Maryland,2023-05-01,40990423.31
Colorado,2023-05-01,127292382.01
Manitoba,2023-05-01,13132865.87
Ohio,2023-05-01,41002023.38
Massachusetts,2023-05-01,150214815.25
North Dakota,2023-05-01,1239701.87
South Dakota,2023-05-01,3237031.11
Minnesota,2023-05-01,3726685.07
Puerto Rico,2023-05-01,26702052.24
British Columbia,2023-05-01,66806000.71
Ontario,2023-05-01,182026783.15
Virginia,2023-05-01,11505518.30
Georgia,2023-05-01,190179.47
New Hampshire,2023-05-01,910909.34
Arizona,2023-05-01,117970489.85
New Mexico,2023-05-01,46196279.77
Florida,2023-05-01,136073091.56
Rhode Island,2023-05-01,5363459.40
Texas,2023-05-01,812408.29
Delaware,2023-05-01,3492774.12
Alberta,2023-05-01,75210942.17
Montana,2023-05-01,26003415.56
Oregon,2023-05-01,81363702.43
Vermont,2023-05-01,8710389.42
Michigan,2023-05-01,247513889.89
District of Columbia,2023-05-01,3114551.75
Illinois,2023-05-01,132732818.33
West Virginia,2023-05-01,5368873.57
Northern Mariana Islands,2023-05-01,0.00
Newfoundland and Labrador,2023-05-01,4124855.87
Nova Scotia,2023-05-01,35468.45
Iowa,2023-05-01,1141675.60
Arkansas,2023-05-01,23606570.09
Mississippi,2023-05-01,6365251.21
Maine,2023-05-01,41736846.75
New Jersey,2023-05-01,53032804.25
